,Glossary Type,Term Name,Description,Usage Context,Associated Category Names,Service Line
1311,Customer,Complaint,"Dissatisfaction with a service offered or dissatisfaction with a LTC staff member or service provider. This is different from a ""Dispute"" where the dissatisfaction is with the decision not to fund","Dissatisfaction with a service offered or dissatisfaction with a LTC staff member or service provider. This is different from a ""Dispute"" where the dissatisfaction is with the decision not to fund",Injured Person,"Workers Insurance,
Dust Disease Care,
Lifetime Care"
1312,Acronyms,SAPS,Scheme Agent Performance Scorecard,SAPS,,
1314,Acronyms,PAL,Performance and Learning system,PAL,,
1316,Customer,Student,A code to identify whether the dependant is a student.,A code to identify whether the dependant is a student.,Dependant,"Workers Insurance,
Dust Disease Care,
Lifetime Care"
1318,Policy,Waiver,"Waivers can only be applied to late payment fees. <br><br>A waiver can be applied to an amount that was correctly charged but the Scheme Agent or WorkCover subsequently decides to relinquish their claim to the charge. <br><br>Examples are where a late payment fee has been correctly imposed but the employer has been able to demonstrate, given their good past payment performance that the late payment fee should not be payable by them. Waivers can also arise where WorkCover due to natural disasters (e.g. drought) has directed that certain types of employers in a particular geographic location are not to be charged a late payment fee for a specified period.","Waivers can only be applied to late payment fees. <br><br>A waiver can be applied to an amount that was correctly charged but the Scheme Agent or WorkCover subsequently decides to relinquish their claim to the charge. <br><br>Examples are where a late payment fee has been correctly imposed but the employer has been able to demonstrate, given their good past payment performance that the late payment fee should not be payable by them. Waivers can also arise where WorkCover due to natural disasters (e.g. drought) has directed that certain types of employers in a particular geographic location are not to be charged a late payment fee for a specified period.",Premium Payment,Workers Insurance
1319,Acronyms,EMICS,EML System- claims,EMICS,,
1320,Acronyms,PS,Project Sponsor,PS,,
1323,Claims,Deductibles,"The amount taken into account as the worker’s Deductible, expressed as ‘D’ in the weekly payment formula for the relevant period.","The amount taken into account as the worker’s Deductible, expressed as ‘D’ in the weekly payment formula for the relevant period.",Claim,
1324,Acronyms,GIC,Gross Incurred Cost,GIC,,
1327,Acronyms,DGO,Data Governance Office,DGO,,
1334,Acronyms,ANTA,Adjusted Net Tangible Assets ,ANTA,,
1336,Acronyms,TSA,Transferrable Skills Analysis,TSA,,
1337,Acronyms,KRA,Key Result Area,KRA,,
1338,Acronyms,ICCR,Industry Claims Cost Rate,ICCR,,
1339,Acronyms,DAM,Decreasing Adjustment Method,DAM,,
1341,Acronyms,GL,General Ledger,GL,,
1344,Acronyms,SIW,"Severely Injured Workers (old, now SIP)",SIW,,
1347,Acronyms,CDBMA,Consensus Based Disability Management Audit,CDBMA,,
1348,Acronyms,TWU,Transport Workers Union,TWU,,
1353,Acronyms,DECCW,"Department of Environment, Climate Change and Water (NSW)",DECCW,,
1359,Acronyms,SICorp,NSW Self Insurance Corporation (relates to Self Insurance),SICorp,,
1364,Acronyms,OGM,Office of the General Manager (OHSD),OGM,,
1367,Customer,Gender,The gender of the claimant.,The gender of the claimant.,Injured Person,"Workers Insurance,
Dust Disease Care,
Lifetime Care"
1370,Acronyms,PI,Permanent Impairment,PI,,
1371,Acronyms,DDA,Dust Disease Authority,DDA,,
1375,Acronyms,AHP,Allied Health Practitioner,AHP,,
1379,Acronyms,EBM,Evidence Based Medicine,EBM,,
1380,The Organization terms glossary,Customer,"A Customer is a either the insured party who take out a policy, or the beneficiary of a claim related to a policy or care scheme.",Customer,,
1388,Acronyms,NSW,New South Wales,NSW,,
1393,Treatment & Care,Status,This is the participants Scheme status: For LTCS (both NSW and ACT) the values are: Closed<br>Closed - No Further Action<br>Closed - Pending Further Action<br>Coordinator Allocation<br>Coordinator Review<br>Eligibility Assessment<br>Eligibility Dispute<br>Follow up Information<br>Ineligible<br>Interim Participation<br>Lapsed<br>Lifetime Participation<br>Notification<br>For Workers Care the values are:<br>Accepted<br>Closed<br>Closed - Pending Further Action<br>Coordinator Allocation<br>Coordinator Review<br>Eligibility Assessment<br>Notification<br>,This is the participants Scheme status: For LTCS (both NSW and ACT) the values are: Closed<br>Closed - No Further Action<br>Closed - Pending Further Action<br>Coordinator Allocation<br>Coordinator Review<br>Eligibility Assessment<br>Eligibility Dispute<br>Follow up Information<br>Ineligible<br>Interim Participation<br>Lapsed<br>Lifetime Participation<br>Notification<br>For Workers Care the values are:<br>Accepted<br>Closed<br>Closed - Pending Further Action<br>Coordinator Allocation<br>Coordinator Review<br>Eligibility Assessment<br>Notification<br>,Case,Lifetime Care
1394,Partner,Payee,"The name of the person, company or Agency on the payment invoice.","The name of the person, company or Agency on the payment invoice.",Service Provider,"Workers Compensation Insurance,
Self Insurance"
1397,Acronyms,SER,Special Eligibility Review ,SER,,
1402,Claims,Triage,Means a Claims management activity that involves the classification and segmentation of notifications and claims into groups according to specific requirements of the Claim.,Means a Claims management activity that involves the classification and segmentation of notifications and claims into groups according to specific requirements of the Claim.,Claim,
1412,Acronyms,CCV,Credit Card Verification (CVV - Card Verification Value),CCV,,
1413,Acronyms,LHD,Local Health District,LHD,,
1426,Acronyms,TnL,Test & Learn,TnL,,
1429,Acronyms,TOOCS,Type Of Occurrence Classification System,TOOCS,,
1430,The Organization terms glossary,Incident,"A recorded instance or an accident or event where no liability has been incurred, however may be incurred in future.",Incident,,
1431,Acronyms,SWA,Safe Work Australia,SWA,,
1453,Acronyms,IPP,Injury Prevention &amp; Pricing,Injury Prevention &amp; Pricing,,
1456,Acronyms,MHF,Major Hazards Facility,MHF,,
1458,Acronyms,ABI,Acquired Brain Injury,ABI,,
1460,Acronyms,NTL,No time lost,NTL,,
1463,Acronyms,CSRs,Customer Support Representatives,CSRs,,
1468,Customer,Director,An individual who has management responsibilities for the activities of the company and is listed on the Australian Prudential Regulation Authority (APRA) Register as a director of that company,An individual who has management responsibilities for the activities of the company and is listed on the Australian Prudential Regulation Authority (APRA) Register as a director of that company,Employer,Workers Insurance
1472,Policy,Commissions,"The total amount of commissions in the period for all polices. (MTD, QTD, YTD)","The total amount of commissions in the period for all polices. (MTD, QTD, YTD)",Premium Payment,Workers Insurance
1480,Acronyms,ASCC,Australian Safety and Compensation Council (ex NOHSC),ASCC,,
1484,Acronyms,PE,People Engagement ,PE,,
1488,Acronyms,DA,Design Authority,DA,,
1491,Acronyms,TBI,Traumatic Brain Injury,TBI,,
1497,Claims,Intimation,An intimation occurs at the first instance when a claim has a reported gross incurred cost for the selected payment type.<br>Once a claim is counted as an intimation it never changes back (even if a reversal is made against the payment).&nbsp;&nbsp;Refer to definition of Intimation Type for intimation types generally analysed.,An intimation occurs at the first instance when a claim has a reported gross incurred cost for the selected payment type.<br>Once a claim is counted as an intimation it never changes back (even if a reversal is made against the payment).&nbsp;&nbsp;Refer to definition of Intimation Type for intimation types generally analysed.,Claim,
1500,The Organization terms glossary,Partner,A Partner is a third party who enables The Organization to deliver outcomes to our customers.,Partner,,
1501,Acronyms,ESI,Employer Safety Incentive,ESI,,
1503,Acronyms,CPM,Comparative Performance Monitoring,CPM,,
1511,Acronyms,DEIS,Date Entered Insurer System,DEIS,,
1516,Customer,ScoreComments,"Free text field, comments on different ypes of health score recorded for the participant","Free text field, comments on different ypes of health score recorded for the participant",Injured Person,Lifetime Care
1528,Acronyms,DFSI,"Department of Finance, Services and Innovation",DFSI,,
1530,Acronyms,EMPR,Employer Premium Reforms,EMPR,,
1531,Acronyms,WRMC,Workplace Relations Ministers Council,WRMC,,
1535,Acronyms,IPART,Independent Pricing and Regulatory Tribunal of NSW,IPART,,
1544,Acronyms,CRIF,Construction Risk Insurance Fund,CRIF,,
1549,Acronyms,UX,User Experience,UX,,
1550,The Organization terms glossary,Policy,"Policy encapsulates the insurance taken out by one of our customers to cover a specific risk, or retrospectively raised once a claim is made to cover uninsured or exempt employers",Policy ,,
1559,Acronyms,LSPA,Lump Sum Payment in Arrears,LSPA,,
1565,Acronyms,LPF,Late Payment Fee,LPF,,
1569,Customer,Surname,This is the participants surname,This is the participants surname,Injured Person,"Lifetime Care,
Workers Insurance,
IfNSW,
Dust Diseases Care"
1570,Acronyms,PSR,Project Status Report / Project Service Request,PSR,,
1578,Customer,Worker_Type,"This field signifies the type of worker whether its Police , Paramedics,FireFighters or Normal workers","This field signifies the type of worker whether its Police , Paramedics,FireFighters or Normal workers",Injured Person,Workers Insurance
1579,Claims,Overtime,"Overtime paid or payable to the worker, expressed as a weekly sum as calculated by the relevant formula","Overtime paid or payable to the worker, expressed as a weekly sum as calculated by the relevant formula",Claim,
1582,Acronyms,QPR,Quarterly Performance Reporting,Quarterly Performance Reporting,,
1583,Acronyms,HIA,Housing Industry Association,HIA,,
1585,The Organization terms glossary,"Organisational
Structure","The structure of an organisation as relevant to the policy. This is customer-led and optional, but helps to inform the structure or coverage of a<br>policy. Include cost centre, workplaces, etc.",Organisational<br>Structure,,
1586,Acronyms,CLT,Care Leadership Team,CLT,,
1587,Acronyms,DPID,Delivery Point Identifier [Source:Australia Post],"<span style=""font-family: Arial; font-size: 11px;"">Delivery Point Identifier&nbsp;</span>[Source:Australia Post]",,
1592,Acronyms,WPI,Whole Person Impairment,WPI,,
1593,Acronyms,PSC,Project Steering Committee,PSC,,
1599,Acronyms,SSI,Self and Specialised Insurer,SSI,,
1601,Acronyms,LP&P,Loss Prevention &amp; Pricing,LP&amp;P,,
1604,Acronyms,WIC,WorkCover Industry Classification (used for Policy premium calculations),WIC,,
1605,Acronyms,WC,Workers Compensation,WC,,
1606,Acronyms,IMA,Injury Manager Advisor,IMA,,
1617,Acronyms,OSA,OSA Group are a training Provider,OSA,,
1622,Acronyms,POG,Project Optimisation Group,POG,,
1625,Acronyms,CMO,Chief Marketing Office,CMO,,
1626,Acronyms,DOI,Date of Injury,DOI,,
1628,Acronyms,WSC,Work Status Codes,WSC,,
1634,Acronyms,CPE,Continuing Professional Education (accountants/fin advisors need to gain points for their CPE to continuing practicing),CPE,,
1635,Acronyms,GP,General Practitioner,GP,,
1640,Acronyms,DPP,"Office of the Director of Public Prosecutions, see also ODPP",DPP,,
1641,Acronyms,ETL,Extract Transform & Load,ETL,,
1642,Acronyms,HCD,Human Centred Design,HCD,,
1646,Claims,Earnings,"The amount taken into account as the workers earnings, expressed as ‘E’ in the weekly payment formula for the relevant payment period.","The amount taken into account as the workers earnings, expressed as ‘E’ in the weekly payment formula for the relevant payment period.",Claim,
1647,Acronyms,PMF,Pre-Managed Fund (Child Sexual Abuse),PMF,,
1650,Acronyms,NCMM,National Case Management Model&nbsp;&nbsp;&nbsp;,NCMM,,
1651,Acronyms,RCEU,Response Coordination and Enforceable Undertakings ,RCEU,,
1656,Acronyms,MRP,My Recovery Plan,MRP,,
1657,Acronyms,RTWS,Return to Work and Support,RTWS,,
1658,Acronyms,FCA,Functional Capacity Assessment,FCA,,
1659,Acronyms,CEO,Chief Executive Officer,CEO,,
1660,Acronyms,PSSC,Project Specific Steering Committee,PSSC,,
1671,Acronyms,EBI,Enterprise Business Intelligence,EBI,,
1675,Acronyms,BAS,Business Administration Services (EML admin support team),BAS,,
1677,Acronyms,SJDE,Same job different employer,SJDE,,
1678,Acronyms,OHS,Occupational Health & Safety,OHS,,
1683,Acronyms,RFS,Request For Service,RFS,,
1691,Acronyms,RREU,Regulatory Reform and Economics Unit,RREU,,
1696,Acronyms,HSU,Health Services Union,HSU,,
1697,Policy,Instalment,"A part or portion of the total premium due, arranged to be taken on account of the total premium due.","A part or portion of the total premium due, arranged to be taken on account of the total premium due.",Premium Payment,Workers Insurance
1699,Acronyms,FNOL,First Notice of Loss,FNOL,,
1700,Acronyms,PwC,PricewaterhouseCoopers (External Actuaries),PwC,,
1704,Acronyms,IME,Independent Medical Examiner,IME,,
1705,Acronyms,HBC,Home Building Compensation,HBC,,
1707,Acronyms,CHRIS21,Human Resource Information Management System (Payroll System),CHRIS21,,
1709,Acronyms,MM,Medical Management,MM,,
1717,Acronyms,SME,Subject Matter Expert,SME,,
1720,Acronyms,ULIS,Uninsured Liability and Indemnity Scheme,ULIS,,
1722,Customer,Liquidation,"The distribution of a company's assets among its creditors, and if surplus monies are left over to its shareholders, prior to its dissolution. This brings the life of the company to an end.","The distribution of a company's assets among its creditors, and if surplus monies are left over to its shareholders, prior to its dissolution. This brings the life of the company to an end.",Employer,Workers Insurance
1723,Acronyms,ACT,Australian Capital Territory,ACT,,
